KW,S5,S11,S12,S13,S15
0.2,0.25,0.14,0.22,0.11,0.25
0.2,0.15,0.18,0.19,0.14,0.16
0.21,0.15,0.18,0.19,0.14,0.16
0.21,0.15,0.18,0.19,0.14,0.16
0.2,0.15,0.18,0.19,0.14,0.16
0.2,0.15,0.18,0.19,0.14,0.16
0.19,0.15,0.18,0.19,0.14,0.16
0.18,0.26,0.22,0.21,0.14,0.28
0.19,0.26,0.22,0.21,0.14,0.28
0.21,0.26,0.22,0.21,0.14,0.28
0.18,0.26,0.22,0.21,0.14,0.28
0.19,0.26,0.22,0.21,0.14,0.28
0.18,0.26,0.22,0.21,0.14,0.28
0.19,0.18,0.21,0.25,0.14,0.2
0.2,0.18,0.21,0.25,0.14,0.2
0.2,0.18,0.21,0.25,0.14,0.2
0.2,0.18,0.21,0.25,0.14,0.2
0.2,0.18,0.21,0.25,0.14,0.2
0.2,0.18,0.21,0.25,0.14,0.2
0.2,0.18,0.21,0.25,0.14,0.2
0.19,0.18,0.21,0.25,0.14,0.2
0.2,0.14,0.25,0.12,0.17,0.21
0.2,0.14,0.25,0.12,0.17,0.21
0.2,0.14,0.25,0.12,0.17,0.21
0.2,0.14,0.25,0.12,0.17,0.21
0.2,0.14,0.25,0.12,0.17,0.21
0.2,0.14,0.25,0.12,0.17,0.21
0.19,0.14,0.25,0.12,0.17,0.21
0.2,0.14,0.25,0.12,0.17,0.21
0.2,0.14,0.25,0.12,0.17,0.21
0.22,0.14,0.25,0.12,0.17,0.21
0.23,0.14,0.25,0.12,0.17,0.21
0.22,0.14,0.25,0.12,0.17,0.21
0.21,0.14,0.25,0.12,0.17,0.21
0.2,0.14,0.25,0.12,0.17,0.21
0.19,0.14,0.25,0.12,0.17,0.21
0.19,0.23,0.22,0.14,0.16,0.18
0.19,0.23,0.22,0.14,0.16,0.18
0.2,0.23,0.22,0.14,0.16,0.18
0.21,0.23,0.22,0.14,0.16,0.18
0.2,0.23,0.22,0.14,0.16,0.18
0.19,0.23,0.22,0.14,0.16,0.18
0.19,0.23,0.22,0.14,0.16,0.18
0.2,0.23,0.22,0.14,0.16,0.18
0.23,0.23,0.22,0.14,0.16,0.18
0.15,0.23,0.22,0.14,0.16,0.18
0.15,0.23,0.22,0.14,0.16,0.18
0.13,0.23,0.22,0.14,0.16,0.18
0.11,0.23,0.22,0.14,0.16,0.18
0.24,0.23,0.22,0.14,0.16,0.18
0.23,0.23,0.22,0.14,0.16,0.18
0.23,0.23,0.22,0.14,0.16,0.18
0.23,0.23,0.22,0.14,0.16,0.18
0.23,0.23,0.22,0.14,0.16,0.18
0.22,0.23,0.22,0.14,0.16,0.18
0.22,0.23,0.22,0.14,0.16,0.18
0.22,0.17,0.21,0.21,0.18,0.24
0.23,0.17,0.21,0.21,0.18,0.24
0.23,0.17,0.21,0.21,0.18,0.24
0.23,0.17,0.21,0.21,0.18,0.24
0.23,0.17,0.21,0.21,0.18,0.24
0.22,0.17,0.21,0.21,0.18,0.24
0.22,0.17,0.21,0.21,0.18,0.24
0.22,0.17,0.21,0.21,0.18,0.24
0.22,0.17,0.21,0.21,0.18,0.24
0.22,0.17,0.21,0.21,0.18,0.24
0.22,0.17,0.21,0.21,0.18,0.24
0.23,0.17,0.21,0.21,0.18,0.24
0.24,0.17,0.21,0.21,0.18,0.24
0.24,0.17,0.21,0.21,0.18,0.24
0.24,0.17,0.21,0.21,0.18,0.24
0.24,0.17,0.21,0.21,0.18,0.24
0.24,0.17,0.21,0.21,0.18,0.24
0.24,0.17,0.21,0.21,0.18,0.24
0.23,0.13,0.2,0.17,0.1,0.27
0.22,0.13,0.2,0.17,0.1,0.27
0.22,0.13,0.2,0.17,0.1,0.27
0.22,0.13,0.2,0.17,0.1,0.27
0.22,0.13,0.2,0.17,0.1,0.27
0.22,0.13,0.2,0.17,0.1,0.27
0.22,0.13,0.2,0.17,0.1,0.27
0.22,0.13,0.2,0.17,0.1,0.27
0.22,0.13,0.2,0.17,0.1,0.27
0.22,0.13,0.2,0.17,0.1,0.27
0.22,0.13,0.2,0.17,0.1,0.27
0.21,0.13,0.2,0.17,0.1,0.27
0.21,0.13,0.2,0.17,0.1,0.27
0.21,0.13,0.2,0.17,0.1,0.27
0.21,0.13,0.2,0.17,0.1,0.27
0.21,0.13,0.2,0.17,0.1,0.27
0.22,0.2,0.13,0.21,0.14,0.22
0.21,0.2,0.13,0.21,0.14,0.22
0.21,0.2,0.13,0.21,0.14,0.22
0.22,0.2,0.13,0.21,0.14,0.22
0.23,0.2,0.13,0.21,0.14,0.22
0.24,0.2,0.13,0.21,0.14,0.22
0.24,0.2,0.13,0.21,0.14,0.22
0.24,0.2,0.13,0.21,0.14,0.22
0.24,0.2,0.13,0.21,0.14,0.22
0.24,0.2,0.13,0.21,0.14,0.22
0.23,0.2,0.13,0.21,0.14,0.22
0.23,0.2,0.13,0.21,0.14,0.22
0.23,0.2,0.13,0.21,0.14,0.22
0.22,0.23,0.14,0.25,0.15,0.25
0.22,0.23,0.14,0.25,0.15,0.25
0.21,0.23,0.14,0.25,0.15,0.25
0.21,0.23,0.14,0.25,0.15,0.25
0.22,0.23,0.14,0.25,0.15,0.25
0.22,0.23,0.14,0.25,0.15,0.25
0.22,0.23,0.14,0.25,0.15,0.25
0.23,0.23,0.14,0.25,0.15,0.25
0.23,0.23,0.14,0.25,0.15,0.25
0.24,0.23,0.14,0.25,0.15,0.25
0.13,0.23,0.14,0.25,0.15,0.25
0.18,0.27,0.32,0.13,0.13,0.18
0.21,0.27,0.32,0.13,0.13,0.18
0.22,0.27,0.32,0.13,0.13,0.18
0.2,0.27,0.32,0.13,0.13,0.18
0.17,0.27,0.32,0.13,0.13,0.18
0.15,0.27,0.32,0.13,0.13,0.18
0.13,0.27,0.32,0.13,0.13,0.18
0.22,0.27,0.32,0.13,0.13,0.18
0.21,0.27,0.32,0.13,0.13,0.18
0.2,0.27,0.32,0.13,0.13,0.18
0.2,0.27,0.32,0.13,0.13,0.18
0.19,0.27,0.32,0.13,0.13,0.18
0.2,0.21,0.26,0.14,0.25,0.16
0.19,0.21,0.26,0.14,0.25,0.16
0.18,0.21,0.26,0.14,0.25,0.16
0.18,0.21,0.26,0.14,0.25,0.16
0.17,0.21,0.26,0.14,0.25,0.16
0.18,0.21,0.26,0.14,0.25,0.16
0.18,0.21,0.26,0.14,0.25,0.16
0.19,0.21,0.26,0.14,0.25,0.16
0.19,0.21,0.26,0.14,0.25,0.16
0.19,0.21,0.26,0.14,0.25,0.16
0.19,0.29,0.26,0.21,0.15,0.15
0.19,0.29,0.26,0.21,0.15,0.15
0.21,0.29,0.26,0.21,0.15,0.15
0.15,0.29,0.26,0.21,0.15,0.15
0.21,0.29,0.26,0.21,0.15,0.15
0.23,0.29,0.26,0.21,0.15,0.15
0.21,0.29,0.26,0.21,0.15,0.15
0.17,0.29,0.26,0.21,0.15,0.15
0.26,0.14,0.2,0.25,0.24,0.19
0.23,0.14,0.2,0.25,0.24,0.19
0.22,0.14,0.2,0.25,0.24,0.19
0.21,0.14,0.2,0.25,0.24,0.19
0.21,0.19,0.19,0.22,0.13,0.15
0.21,0.19,0.19,0.22,0.13,0.15
0.22,0.19,0.19,0.22,0.13,0.15
0.22,0.19,0.19,0.22,0.13,0.15
0.22,0.19,0.19,0.22,0.13,0.15
0.22,0.22,0.21,0.2,0.14,0.23
0.23,0.22,0.21,0.2,0.14,0.23
0.24,0.22,0.21,0.2,0.14,0.23
0.24,0.22,0.21,0.2,0.14,0.23
0.24,0.22,0.21,0.2,0.14,0.23
0.24,0.22,0.21,0.2,0.14,0.23
0.23,0.22,0.21,0.2,0.14,0.23
0.22,0.22,0.21,0.2,0.14,0.23
0.22,0.25,0.19,0.28,0.13,0.24
0.22,0.25,0.19,0.28,0.13,0.24
0.22,0.25,0.19,0.28,0.13,0.24
0.22,0.25,0.19,0.28,0.13,0.24
0.22,0.25,0.19,0.28,0.13,0.24
0.22,0.25,0.19,0.28,0.13,0.24
0.22,0.25,0.19,0.28,0.13,0.24
0.23,0.25,0.19,0.28,0.13,0.24
0.24,0.25,0.19,0.28,0.13,0.24
0.24,0.23,0.28,0.18,0.14,0.22
0.24,0.23,0.28,0.18,0.14,0.22
0.25,0.23,0.28,0.18,0.14,0.22
0.25,0.23,0.28,0.18,0.14,0.22
0.28,0.23,0.28,0.18,0.14,0.22
0.14,0.23,0.28,0.18,0.14,0.22
0.2,0.23,0.28,0.18,0.14,0.22
0.2,0.23,0.28,0.18,0.14,0.22
0.17,0.23,0.28,0.18,0.14,0.22
0.11,0.15,0.23,0.09,0.27,0.15
0.25,0.15,0.23,0.09,0.27,0.15
0.22,0.15,0.23,0.09,0.27,0.15
0.21,0.15,0.23,0.09,0.27,0.15
0.21,0.15,0.23,0.09,0.27,0.15
0.22,0.15,0.23,0.09,0.27,0.15
0.23,0.15,0.23,0.09,0.27,0.15
0.24,0.15,0.23,0.09,0.27,0.15
0.1,0.15,0.23,0.09,0.27,0.15
0.15,0.15,0.23,0.09,0.27,0.15
0.18,0.15,0.23,0.09,0.27,0.15
0.18,0.15,0.23,0.09,0.27,0.15
0.16,0.15,0.23,0.09,0.27,0.15
0.27,0.15,0.23,0.09,0.27,0.15
0.23,0.15,0.23,0.09,0.27,0.15
0.22,0.15,0.23,0.09,0.27,0.15
0.23,0.15,0.23,0.09,0.27,0.15
0.22,0.15,0.23,0.09,0.27,0.15
0.21,0.15,0.23,0.09,0.27,0.15
0.2,0.15,0.23,0.09,0.27,0.15
0.2,0.15,0.23,0.09,0.27,0.15
0.21,0.15,0.23,0.09,0.27,0.15
0.23,0.15,0.23,0.09,0.27,0.15
0.24,0.15,0.23,0.09,0.27,0.15
0.24,0.15,0.23,0.09,0.27,0.15
0.23,0.18,0.26,0.14,0.19,0.15
0.22,0.18,0.26,0.14,0.19,0.15
0.2,0.18,0.26,0.14,0.19,0.15
0.19,0.18,0.26,0.14,0.19,0.15
0.19,0.18,0.26,0.14,0.19,0.15
0.18,0.18,0.26,0.14,0.19,0.15
0.18,0.18,0.26,0.14,0.19,0.15
0.18,0.18,0.26,0.14,0.19,0.15
0.18,0.18,0.26,0.14,0.19,0.15
0.18,0.18,0.26,0.14,0.19,0.15
0.18,0.18,0.26,0.14,0.19,0.15
0.19,0.18,0.26,0.14,0.19,0.15
0.18,0.18,0.26,0.14,0.19,0.15
0.17,0.18,0.26,0.14,0.19,0.15
0.17,0.18,0.26,0.14,0.19,0.15
0.17,0.18,0.26,0.14,0.19,0.15
0.16,0.18,0.26,0.14,0.19,0.15
0.17,0.18,0.26,0.14,0.19,0.15
0.18,0.18,0.26,0.14,0.19,0.15
0.22,0.18,0.26,0.14,0.19,0.15
0.19,0.18,0.26,0.14,0.19,0.15
0.23,0.18,0.26,0.14,0.19,0.15
0.22,0.18,0.26,0.14,0.19,0.15
0.17,0.18,0.26,0.14,0.19,0.15
0.14,0.18,0.26,0.14,0.19,0.15
0.15,0.18,0.26,0.14,0.19,0.15
0.17,0.18,0.26,0.14,0.19,0.15
0.18,0.18,0.26,0.14,0.19,0.15
0.17,0.18,0.26,0.14,0.19,0.15
0.24,0.18,0.26,0.14,0.19,0.15
0.22,0.18,0.26,0.14,0.19,0.15
0.21,0.26,0.19,0.2,0.11,0.26
0.2,0.26,0.19,0.2,0.11,0.26
0.19,0.26,0.19,0.2,0.11,0.26
0.2,0.26,0.19,0.2,0.11,0.26
0.21,0.26,0.19,0.2,0.11,0.26
0.24,0.26,0.19,0.2,0.11,0.26
0.28,0.26,0.19,0.2,0.11,0.26
0.29,0.26,0.19,0.2,0.11,0.26
0.27,0.26,0.19,0.2,0.11,0.26
0.22,0.26,0.19,0.2,0.11,0.26
0.18,0.26,0.19,0.2,0.11,0.26
0.17,0.26,0.19,0.2,0.11,0.26
0.18,0.26,0.19,0.2,0.11,0.26
0.18,0.26,0.19,0.2,0.11,0.26
0.17,0.26,0.19,0.2,0.11,0.26
0.18,0.26,0.19,0.2,0.11,0.26
0.2,0.26,0.19,0.2,0.11,0.26
0.22,0.26,0.19,0.2,0.11,0.26
0.21,0.26,0.19,0.2,0.11,0.26
0.19,0.15,0.13,0.17,0.1,0.28
0.2,0.15,0.13,0.17,0.1,0.28
0.23,0.15,0.13,0.17,0.1,0.28
0.26,0.15,0.13,0.17,0.1,0.28
0.26,0.15,0.13,0.17,0.1,0.28
0.25,0.15,0.13,0.17,0.1,0.28
0.25,0.15,0.13,0.17,0.1,0.28
0.24,0.15,0.13,0.17,0.1,0.28
0.23,0.15,0.13,0.17,0.1,0.28
0.24,0.15,0.13,0.17,0.1,0.28
0.14,0.15,0.13,0.17,0.1,0.28
0.17,0.15,0.13,0.17,0.1,0.28
0.19,0.15,0.13,0.17,0.1,0.28
0.18,0.15,0.13,0.17,0.1,0.28
0.17,0.15,0.13,0.17,0.1,0.28
0.17,0.15,0.13,0.17,0.1,0.28
0.19,0.15,0.13,0.17,0.1,0.28
0.21,0.15,0.13,0.17,0.1,0.28
0.19,0.15,0.13,0.17,0.1,0.28
0.18,0.15,0.13,0.17,0.1,0.28
0.2,0.14,0.18,0.19,0.12,0.23
0.21,0.14,0.18,0.19,0.12,0.23
0.26,0.14,0.18,0.19,0.12,0.23
0.28,0.14,0.18,0.19,0.12,0.23
0.25,0.14,0.18,0.19,0.12,0.23
0.19,0.14,0.18,0.19,0.12,0.23
0.15,0.14,0.18,0.19,0.12,0.23
0.15,0.14,0.18,0.19,0.12,0.23
0.15,0.14,0.18,0.19,0.12,0.23
0.17,0.14,0.18,0.19,0.12,0.23
0.17,0.14,0.18,0.19,0.12,0.23
0.16,0.14,0.18,0.19,0.12,0.23
0.15,0.14,0.18,0.19,0.12,0.23
0.18,0.14,0.18,0.19,0.12,0.23
0.2,0.14,0.18,0.19,0.12,0.23
0.16,0.14,0.18,0.19,0.12,0.23
0.09,0.14,0.18,0.19,0.12,0.23
0.06,0.14,0.18,0.19,0.12,0.23
0.07,0.14,0.18,0.19,0.12,0.23
0.09,0.14,0.18,0.19,0.12,0.23
0.12,0.14,0.18,0.19,0.12,0.23
0.14,0.14,0.18,0.19,0.12,0.23
0.13,0.14,0.18,0.19,0.12,0.23
0.13,0.14,0.18,0.19,0.12,0.23
0.15,0.22,0.2,0.26,0.13,0.28
0.2,0.22,0.2,0.26,0.13,0.28
0.24,0.22,0.2,0.26,0.13,0.28
0.27,0.22,0.2,0.26,0.13,0.28
0.26,0.22,0.2,0.26,0.13,0.28
0.2,0.22,0.2,0.26,0.13,0.28
0.31,0.22,0.2,0.26,0.13,0.28
0.21,0.22,0.2,0.26,0.13,0.28
0.17,0.22,0.2,0.26,0.13,0.28
0.16,0.22,0.2,0.26,0.13,0.28
0.15,0.22,0.2,0.26,0.13,0.28
0.15,0.22,0.2,0.26,0.13,0.28
0.16,0.22,0.2,0.26,0.13,0.28
0.17,0.22,0.2,0.26,0.13,0.28
0.19,0.22,0.2,0.26,0.13,0.28
0.2,0.22,0.2,0.26,0.13,0.28
0.21,0.22,0.2,0.26,0.13,0.28
0.22,0.22,0.2,0.26,0.13,0.28
0.23,0.22,0.2,0.26,0.13,0.28
0.23,0.22,0.2,0.26,0.13,0.28
0.23,0.22,0.2,0.26,0.13,0.28
0.24,0.22,0.2,0.26,0.13,0.28
0.25,0.22,0.2,0.26,0.13,0.28
0.23,0.22,0.2,0.26,0.13,0.28
0.22,0.22,0.2,0.26,0.13,0.28
0.2,0.22,0.2,0.26,0.13,0.28
0.18,0.22,0.2,0.26,0.13,0.28
0.17,0.26,0.18,0.18,0.13,0.16
0.17,0.26,0.18,0.18,0.13,0.16
0.18,0.26,0.18,0.18,0.13,0.16
0.21,0.26,0.18,0.18,0.13,0.16
0.22,0.26,0.18,0.18,0.13,0.16
0.23,0.26,0.18,0.18,0.13,0.16
0.24,0.26,0.18,0.18,0.13,0.16
0.24,0.26,0.18,0.18,0.13,0.16
0.25,0.26,0.18,0.18,0.13,0.16
0.25,0.26,0.18,0.18,0.13,0.16
0.25,0.26,0.18,0.18,0.13,0.16
0.25,0.26,0.18,0.18,0.13,0.16
0.25,0.26,0.18,0.18,0.13,0.16
0.26,0.26,0.18,0.18,0.13,0.16
0.27,0.26,0.18,0.18,0.13,0.16
0.27,0.26,0.18,0.18,0.13,0.16
0.26,0.26,0.18,0.18,0.13,0.16
0.25,0.26,0.18,0.18,0.13,0.16
0.25,0.26,0.18,0.18,0.13,0.16
0.25,0.26,0.18,0.18,0.13,0.16
0.24,0.26,0.18,0.18,0.13,0.16
0.24,0.26,0.18,0.18,0.13,0.16
0.25,0.26,0.18,0.18,0.13,0.16
0.25,0.26,0.18,0.18,0.13,0.16
0.26,0.26,0.18,0.18,0.13,0.16
0.26,0.26,0.18,0.18,0.13,0.16
0.26,0.26,0.18,0.18,0.13,0.16
0.25,0.26,0.18,0.18,0.13,0.16
0.25,0.26,0.18,0.18,0.13,0.16
0.26,0.26,0.18,0.18,0.13,0.16
0.26,0.26,0.18,0.18,0.13,0.16
0.26,0.26,0.18,0.18,0.13,0.16
0.26,0.31,0.13,0.3,0.13,0.28
0.26,0.31,0.13,0.3,0.13,0.28
0.26,0.31,0.13,0.3,0.13,0.28
0.25,0.31,0.13,0.3,0.13,0.28
0.23,0.31,0.13,0.3,0.13,0.28
0.22,0.31,0.13,0.3,0.13,0.28
0.22,0.31,0.13,0.3,0.13,0.28
0.24,0.31,0.13,0.3,0.13,0.28
0.27,0.31,0.13,0.3,0.13,0.28
0.26,0.31,0.13,0.3,0.13,0.28
0.25,0.31,0.13,0.3,0.13,0.28
0.24,0.31,0.13,0.3,0.13,0.28
0.25,0.31,0.13,0.3,0.13,0.28
0.24,0.31,0.13,0.3,0.13,0.28
0.21,0.31,0.13,0.3,0.13,0.28
0.19,0.31,0.13,0.3,0.13,0.28
0.29,0.31,0.13,0.3,0.13,0.28
0.28,0.31,0.13,0.3,0.13,0.28
0.28,0.31,0.13,0.3,0.13,0.28
0.28,0.31,0.13,0.3,0.13,0.28
0.29,0.31,0.13,0.3,0.13,0.28
0.29,0.31,0.13,0.3,0.13,0.28
0.29,0.31,0.13,0.3,0.13,0.28
0.29,0.31,0.13,0.3,0.13,0.28
0.29,0.31,0.13,0.3,0.13,0.28
0.29,0.31,0.13,0.3,0.13,0.28
0.29,0.31,0.13,0.3,0.13,0.28
0.29,0.31,0.13,0.3,0.13,0.28
0.29,0.31,0.13,0.3,0.13,0.28
0.28,0.31,0.13,0.3,0.13,0.28
0.28,0.31,0.13,0.3,0.13,0.28
0.28,0.31,0.13,0.3,0.13,0.28
0.28,0.31,0.13,0.3,0.13,0.28
0.28,0.31,0.13,0.3,0.13,0.28
0.28,0.31,0.13,0.3,0.13,0.28
0.3,0.31,0.13,0.3,0.13,0.28
0.34,0.31,0.13,0.3,0.13,0.28
0.38,0.31,0.13,0.3,0.13,0.28
0.4,0.31,0.13,0.3,0.13,0.28
0.41,0.3,0.22,0.24,0.12,0.3
0.39,0.3,0.22,0.24,0.12,0.3
0.35,0.3,0.22,0.24,0.12,0.3
0.32,0.3,0.22,0.24,0.12,0.3
0.32,0.3,0.22,0.24,0.12,0.3
0.33,0.3,0.22,0.24,0.12,0.3
0.35,0.3,0.22,0.24,0.12,0.3
0.38,0.3,0.22,0.24,0.12,0.3
0.4,0.3,0.22,0.24,0.12,0.3
0.41,0.3,0.22,0.24,0.12,0.3
0.41,0.3,0.22,0.24,0.12,0.3
0.27,0.3,0.22,0.24,0.12,0.3
0.28,0.3,0.22,0.24,0.12,0.3
0.28,0.3,0.22,0.24,0.12,0.3
0.28,0.3,0.22,0.24,0.12,0.3
0.3,0.3,0.22,0.24,0.12,0.3
0.29,0.3,0.22,0.24,0.12,0.3
0.27,0.3,0.22,0.24,0.12,0.3
0.22,0.3,0.22,0.24,0.12,0.3
0.16,0.3,0.22,0.24,0.12,0.3
0.15,0.3,0.22,0.24,0.12,0.3
0.15,0.3,0.22,0.24,0.12,0.3
0.15,0.3,0.22,0.24,0.12,0.3
0.15,0.3,0.22,0.24,0.12,0.3
0.16,0.3,0.22,0.24,0.12,0.3
0.16,0.3,0.22,0.24,0.12,0.3
0.16,0.3,0.22,0.24,0.12,0.3
0.15,0.3,0.22,0.24,0.12,0.3
0.15,0.3,0.22,0.24,0.12,0.3
0.15,0.3,0.22,0.24,0.12,0.3
0.15,0.3,0.22,0.24,0.12,0.3
0.15,0.3,0.22,0.24,0.12,0.3
0.14,0.3,0.22,0.24,0.12,0.3
0.14,0.3,0.22,0.24,0.12,0.3
0.15,0.3,0.22,0.24,0.12,0.3
0.18,0.3,0.22,0.24,0.12,0.3
0.17,0.3,0.22,0.24,0.12,0.3
0.15,0.3,0.22,0.24,0.12,0.3
0.17,0.3,0.22,0.24,0.12,0.3
0.21,0.3,0.22,0.24,0.12,0.3
0.2,0.3,0.22,0.24,0.12,0.3
0.15,0.3,0.22,0.24,0.12,0.3
0.13,0.3,0.22,0.24,0.12,0.3
0.12,0.3,0.22,0.24,0.12,0.3
0.1,0.3,0.22,0.24,0.12,0.3
0.09,0.3,0.22,0.24,0.12,0.3
0.09,0.25,0.24,0.2,0.19,0.2
0.1,0.25,0.24,0.2,0.19,0.2
0.12,0.25,0.24,0.2,0.19,0.2
0.14,0.25,0.24,0.2,0.19,0.2
0.18,0.25,0.24,0.2,0.19,0.2
0.22,0.25,0.24,0.2,0.19,0.2
0.23,0.25,0.24,0.2,0.19,0.2
0.21,0.25,0.24,0.2,0.19,0.2
0.22,0.25,0.24,0.2,0.19,0.2
0.21,0.25,0.24,0.2,0.19,0.2
0.17,0.25,0.24,0.2,0.19,0.2
0.14,0.25,0.24,0.2,0.19,0.2
0.12,0.25,0.24,0.2,0.19,0.2
0.11,0.25,0.24,0.2,0.19,0.2
0.12,0.25,0.24,0.2,0.19,0.2
0.14,0.25,0.24,0.2,0.19,0.2
0.14,0.25,0.24,0.2,0.19,0.2
0.14,0.25,0.24,0.2,0.19,0.2
0.12,0.25,0.24,0.2,0.19,0.2
0.11,0.25,0.24,0.2,0.19,0.2
0.12,0.25,0.24,0.2,0.19,0.2
0.12,0.25,0.24,0.2,0.19,0.2
0.12,0.25,0.24,0.2,0.19,0.2
0.11,0.25,0.24,0.2,0.19,0.2
0.12,0.25,0.24,0.2,0.19,0.2
0.14,0.25,0.24,0.2,0.19,0.2
0.14,0.25,0.24,0.2,0.19,0.2
0.13,0.25,0.24,0.2,0.19,0.2
0.12,0.25,0.24,0.2,0.19,0.2
0.13,0.25,0.24,0.2,0.19,0.2
0.13,0.25,0.24,0.2,0.19,0.2
0.14,0.25,0.24,0.2,0.19,0.2
0.15,0.25,0.24,0.2,0.19,0.2
0.16,0.25,0.24,0.2,0.19,0.2
0.17,0.25,0.24,0.2,0.19,0.2
0.17,0.25,0.24,0.2,0.19,0.2
0.16,0.25,0.24,0.2,0.19,0.2
0.15,0.25,0.24,0.2,0.19,0.2
0.15,0.25,0.24,0.2,0.19,0.2
0.14,0.25,0.24,0.2,0.19,0.2
0.14,0.25,0.24,0.2,0.19,0.2
0.15,0.25,0.24,0.2,0.19,0.2
0.16,0.25,0.24,0.2,0.19,0.2
0.15,0.25,0.24,0.2,0.19,0.2
0.15,0.25,0.24,0.2,0.19,0.2
0.17,0.25,0.24,0.2,0.19,0.2
0.2,0.25,0.24,0.2,0.19,0.2
0.2,0.25,0.24,0.2,0.19,0.2
0.18,0.25,0.24,0.2,0.19,0.2
0.16,0.25,0.24,0.2,0.19,0.2
